gene_symbol,organism,,p-value,,sample,,change_type,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_control,max_age_of_control,min_age_of_experiment,max_age_of_experiment,n_of_control,n_of_experiment,link,FC,logFC,percent_of_change
SFRP1,human,,7.91e-35,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.299922613,,-70.0
PTN,human,,3.88e-34,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.424080025,,-57.0
CHRDL1,human,,1.43e-29,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.533674025,,-46.0
TNFRSF11B,human,,6.5e-27,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.527239588,,-47.0
CCDC80,human,,2.87e-26,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.603445646,,-39.0
GDF15,human,,5.28e-25,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.523834293,,-47.0
IGFBP2,human,,7.53e-25,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.368902526,,-63.0
COL28A1,human,,"5,00E-23",,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.562928802,,-43.0
SVEP1,human,,4.78e-23,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.563661936,,-43.0
B2M,human,,1.56e-22,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.529434455,,-47.0
SVEP1,human,,2.66e-21,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.469702372,,-53.0
IGFALS,human,,9.1e-21,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.671373235,,67.0
NBL1,human,,1.67e-20,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.532322002,,-46.0
RSPO4,human,,2.04e-20,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.686433435,,-31.0
CST3,human,,2.18e-20,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.618404475,,-38.0
SERPINF2,human,,2.8e-20,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.429150131,,42.0
RNASE1,human,,3.58e-20,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.359417437,,-64.0
WFDC2,human,,5.01e-20,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.56071315,,-43.0
TNFRSF1B,human,,7.65e-20,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.59445678,,-40.0
IGFBP2,human,,1.41e-19,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.502429465,,-49.0
SMOC1,human,,2.05e-19,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.716932781,,-28.0
ATP1B1,human,,3.72e-19,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.209047797,,20.0
WISP2,human,,7.9e-19,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.594083555,,-40.0
IGFBP6,human,,1.02e-18,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.699024577,,-30.0
SPON1,human,,2.06e-18,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.638772717,,-36.0
DKK2,human,,2.64e-18,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.58115598,,-41.0
COL6A3,human,,3.03e-18,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.744105557,,-25.0
FSTL3,human,,4.3e-18,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.614755653,,-38.0
TNFRSF1A,human,,5.43e-18,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.641038048,,-35.0
MASP1,human,,6.23e-18,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.243775728,,24.0
SPON1,human,,6.76e-18,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.629062574,,-37.0
MMP12,human,,1.02e-17,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.475223527,,-52.0
EPHA2,human,,1.2e-17,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.647795984,,-35.0
UNC5B,human,,1.43e-17,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.752827833,,-24.0
DPT,human,,1.58e-17,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.636519871,,-36.0
LMAN2,human,,3.84e-17,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.693465718,,-30.0
PCDHGA10,human,,5.17e-17,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.633168384,,-36.0
MARCO,human,,5.39e-17,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.294026256,,29.0
RSPO3,human,,9.35e-17,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.727477745,,-27.0
SQSTM1,human,,1.02e-16,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.231147219,,23.0
IGFBP2,human,,1.29e-16,,serum,,decreased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,0.472975044,,-52.0
TNFRSF14,human,,1.48e-16,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.226391449,,22.0
RUFY1,human,,1.62e-16,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.486673702,,48.0
SYTL4,human,,1.88e-16,,serum,,increased gene expression,protein,both,SomaScan assay,Fishers exact test,Years,55,88,92,114,65,77,10.1111/acel.13290,1.258819734,,25.0
