gene,result,expression_change_percent,expression_change_log(FC),p_value,tissue,organism,sex,line,age,age_units,measurement_method,expression_evaluation_by,measurement_taken,duration,training_regimen,participants,experiment_groups_quantity,reference
ACOT13,increase,36,0.44360665147561484,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
ATP5F1,increase,27,0.34482849699744117,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
ATP5G1,increase,53,0.6135316529179271,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
ATP5H,increase,27,0.34482849699744117,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
ATP5J,increase,33,0.411426245726465,0.0115,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
BEX4,increase,35,0.4329594072761063,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
BST2,increase,50,0.5849625007211562,0.0385,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
C13orf27,increase,30,0.37851162325372983,0.0296,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
C14orf2,increase,31,0.3895668117627256,0.0369,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
C15orf57,increase,35,0.4329594072761063,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
C1orf220,increase,32,0.40053792958372886,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
C6orf226,increase,30,0.37851162325372983,0.0446,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
CCDC56,increase,30,0.37851162325372983,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
CCDC72,increase,33,0.411426245726465,0.0211,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
CD79B,increase,38,0.4646682670034443,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
CKS2,increase,82,0.8639384504239717,0.0165,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
COX4I1,increase,31,0.3895668117627256,0.0115,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
COX7B,increase,49,0.5753123306874368,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
DDT,increase,51,0.5945485495503542,0.0309,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
DPY30,increase,31,0.3895668117627256,0.0165,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
EDF1,increase,40,0.48542682717024166,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
FASTKD3,increase,42,0.5058909297299572,0.0452,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
HLA-DPB1,increase,58,0.6599245584023783,0.0229,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
HNRNPC,increase,45,0.5360529002402097,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
HSF5,increase,33,0.411426245726465,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
IFI27L2,increase,27,0.34482849699744117,0.0374,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
LIPT1,increase,34,0.4222330006830478,0.0374,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
LSM3,increase,49,0.5753123306874368,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
MIF,increase,28,0.35614381022527536,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
MIR15B,increase,41,0.4956951626240688,0.0446,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
MLLT4,increase,45,0.5360529002402097,0.0446,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
MRPL28,increase,37,0.4541758931858021,0.0115,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
MRPL51,increase,42,0.5058909297299572,0.022,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
MRPS11,increase,30,0.37851162325372983,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
MRPS33,increase,28,0.35614381022527536,0.0452,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
MZT2A,increase,34,0.4222330006830478,0.047,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
NCRNA00188,increase,28,0.35614381022527536,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
NDUFA12,increase,30,0.37851162325372983,0.0296,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
NDUFA2,increase,30,0.37851162325372983,0.0446,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
PDE6D,increase,30,0.37851162325372983,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
PFDN1,increase,30,0.37851162325372983,0.0446,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
