gene ID,gene_symbol,UniGene symbol,GenBank_id,Accession,gene_name,organism,p-value,sample,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_control,max_age_of_control,min_age_of_experiment,max_age_of_experiment,link,change_type,n_of_control,n_of_experiment,percent_of_change,FC,logFC,q-value,FDR
,AARS,,,NM_001605.1,,human,"0,0032083",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
AK023446,AASS,,,,aminoadipate-semialdehyde synthase,human,"0,01435157221",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,88,"1,89",,,
,ABCA5,ABCA5,,,"ATP-binding cassette, sub-family A (ABC1), member 5",human,"0,0019",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"61,40921568",1.6140921567740822,,,2.835248776
,ABCA5,ABCA5,,,"ATP-binding cassette, sub-family A (ABC1), member 5",human,"0,0207",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"32,8231259",1.328231259,,,7.08522883
,ABCA5,,,NM_018672.2,,human,"0,00000351",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,60,"1,6",,,
,ABCA8,,,NM_007168.2,,human,"0,0203404",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
,ABCA9,,,NM_172386.1,,human,"0,0196375",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,ABCD3,,,X83467,"ATP-binding cassette, sub-family D (ALD), member 3",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,64,1.64,,0.005124108,
,ABCD3,,,NM_002858.2,,human,"0,017023",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
NM_002940,ABCE1,,,,"ATP-binding cassette, sub-family E (OABP), member 1",human,"0,006208055049",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-35,8974359","1,56",,,
,ABCG1,,,X91249,"ATP-binding cassette, sub-family G (WHITE), member 1",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,77,1.77,,0.005124108,
,ABCG2,ABCG2,,,"ATP-binding cassette, sub-family G (WHITE), member 2",human,"0,0011",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-25,3323863",0.746676137,,,9.271695889
,ABHD1,,,NM_152870.1,,human,"0,0092922",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,ABI2,,,NM_005759.3,,human,"0,0245695",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,ABLIM1,ABLIM1,,,actin binding LIM protein 1,human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"45,7903321",1.457903321,,,6.354174563
BC002448,ABLIM1,,,,actin binding LIM protein 1,human,"0,001240075098",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-65,75342466","2,92",,,
,ABLIM2,ABLIM2,,,actin binding LIM protein 2,human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"37,40492959",1.3740492958691646,,,5.074085998
,ABLIM2,,,NM_032432.2,,human,"0,00000379",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,50,"1,5",,,
AL527773,ABR,,,,active BCR-related gene,human,"0,01246829864",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,59,"1,59",,,
,ACAA2,,,D16294,acetyl-Coenzyme A acyltransferase 2,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,54,1.54,,0.003812139,
